hora,mês,dia,nível
9,4,30,50
10,4,30,75
11,4,30,75
12,4,30,75
13,4,30,100
14,4,30,100
15,4,30,100
16,4,30,100
17,4,30,100
18,4,30,100
19,4,30,100
20,4,30,100
21,4,30,100
22,4,30,100
23,4,30,100
0,5,1,100
1,5,1,100
2,5,1,100
3,5,1,100
4,5,1,100
5,5,1,100
6,5,1,100
7,5,1,100
8,5,1,75
9,5,1,50
10,5,1,75
11,5,1,50
12,5,1,25
13,5,1,0
14,5,1,25
15,5,1,50
16,5,1,75
17,5,1,50
18,5,1,75
19,5,1,100
20,5,1,100
21,5,1,100
22,5,1,100
23,5,1,100
0,5,2,100
1,5,2,100
2,5,2,100
3,5,2,100
4,5,2,100
5,5,2,100
6,5,2,100
7,5,2,100
8,5,2,100
9,5,2,75
10,5,2,75
11,5,2,75
12,5,2,75
13,5,2,75
14,5,2,75
15,5,2,75
16,5,2,75
17,5,2,75
18,5,2,75
19,5,2,75
20,5,2,75
21,5,2,75
22,05,02,100
23,05,02,100
00,05,03,100
01,05,03,75
02,05,03,50
03,05,03,25
04,05,03,25
05,05,03,25
06,05,03,50
07,05,03,75
08,05,03,100
09,05,03,75
10,05,03,50
11,05,03,75
12,05,03,50
13,05,03,75
14,05,03,75
15,05,03,50
16,05,03,50
17,05,03,25
18,05,03,25
19,05,03,25
20,05,03,50
21,05,03,75
22,05,03,75
23,05,03,50
00,05,04,50
01,05,04,50
02,05,04,25
03,05,04,25
04,05,04,0
05,05,04,25
06,05,04,25
07,05,04,25
08,05,04,0
09,05,04,25
10,05,04,50
11,05,04,25
12,05,04,50
13,05,04,50
14,05,04,50
15,05,04,50
16,05,04,25
17,05,04,25
18,05,04,0
19,05,04,0
20,05,04,0
21,05,04,25
22,05,04,0
23,05,04,0
00,05,05,0
01,05,05,0
02,05,05,0
03,05,05,0
04,05,05,0
05,05,05,25
06,05,05,25
07,05,05,50
08,05,05,25
09,05,05,25
10,05,05,50
11,05,05,50
12,05,05,75
13,05,05,75
14,05,05,50
15,05,05,25
16,05,05,0
17,05,05,0
18,05,05,0
19,05,05,0
20,05,05,25
21,05,05,25
22,05,05,25
23,05,05,25
00,05,06,50
01,05,06,50
02,05,06,50
03,05,06,50
04,05,06,50
05,05,06,50
06,05,06,50
07,05,06,25
08,05,06,0
09,05,06,0
10,05,06,25
11,05,06,25
12,05,06,25
13,05,06,0
14,05,06,25
15,05,06,25
16,05,06,0
17,05,06,0
18,05,06,0
19,05,06,25
20,05,06,25
21,05,06,25
22,05,06,25
23,05,06,25
00,05,07,25
01,05,07,25
02,05,07,25
03,05,07,25
04,05,07,25
05,05,07,25
06,05,07,25
07,05,07,50
08,05,07,50
09,05,07,50
10,05,07,75
11,05,07,75
12,05,07,76
13,05,07,75
14,05,07,75
15,05,07,100
16,05,07,100
17,05,07,100
18,05,07,100
19,05,07,100
20,05,07,100
21,05,07,100
22,05,07,100
23,05,07,100
00,05,08,75
01,05,08,75
02,05,08,75
03,05,08,75
04,05,08,75
05,05,08,75
06,05,08,75
07,05,08,75
08,05,08,75
15,05,08,100
16,05,08,100
17,05,08,100
18,05,08,100
19,05,08,75
20,05,08,75
